2025-01-11 21:43:03,984 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653383982, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,003 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653384001, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,010 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653384008, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,012 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653384011, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,142 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653384139, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,160 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653384158, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,167 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653384166, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,174 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653384172, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,177 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653384176, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,310 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653384308, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,332 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653384331, Type: popup, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,344 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: notification_4_1736653384342, Type: notification, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,348 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: adslot_5_1736653384346, Type: adslot, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,350 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: invisible_6_1736653384349, Type: invisible, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,481 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: banner_1_1736653384480, Type: banner, Source: main, Component: scam, Site: 5002
2025-01-11 21:43:04,501 - 🔵 ATTACK SHOWN: SITE_ID - 5002, ScamID: popup_3_1736653384484, Type: popup, Source: main, Component: scam, Site: 5002
